title,make,model,year,condition,transmission,price
Infiniti G35 Base Sedan 2005 Silver,Infiniti,G35 Base,2005,local used,automatic,"₦ 4,700,000"
Honda Crosstour 3.5 FWD 2010 White,Honda,Crosstour 3,2010,local used,automatic,"₦ 3,000,000"
Mercedes-Benz GLC-Class 2017 White,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 43,664,062"
Lexus NX 200t AWD 2017 Gray,Lexus,NX 200t,2017,local used,automatic,"₦ 25,500,000"
Lexus RX 2003 Gold,Lexus,RX,2003,local used,automatic,"₦ 4,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 4A) 2004 Silver,Toyota,Camry LE,2004,local used,automatic,"₦ 3,500,000"
Toyota Camry 2010 Black,Toyota,Camry,2010,local used,automatic,"₦ 6,700,000"
Toyota Corolla 1.4 D-4D 2006 Gray,Toyota,Corolla 1,2006,local used,automatic,"₦ 3,800,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 13,800,000"
Toyota Camry 2014 Red,Toyota,Camry,2014,foreign used,automatic,"₦ 13,450,000"
Mercedes-Benz M Class 2015 Black,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 26,100,000"
Hyundai Sonata 2013 Gray,Hyundai,Sonata,2013,foreign used,automatic,"₦ 9,700,000"
Toyota Highlander XLE 2021 Black,Toyota,Highlander XLE,2021,foreign used,automatic,"₦ 46,300,000"
Toyota Highlander 2011 Silver,Toyota,Highlander,2011,foreign used,automatic,"₦ 17,600,000"
Hyundai Santa Fe Limited 4dr SUV (3.3L 6cyl 6A) 2014 Black,Hyundai,Santa Fe,2014,foreign used,automatic,"₦ 15,500,000"
Hyundai Santa Fe 2018 Black,Hyundai,Santa Fe,2018,foreign used,automatic,"₦ 16,200,000"
Toyota Highlander 2019 Blue,Toyota,Highlander,2019,foreign used,automatic,"₦ 28,500,000"
Ford Explorer 2018 Silver,Ford,Explorer,2018,foreign used,automatic,"₦ 25,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2012 Red,Mercedes-Benz,GLK-Class 350,2012,local used,automatic,"₦ 8,200,000"
Hyundai Tucson 2020 Red,Hyundai,Tucson,2020,foreign used,automatic,"₦ 22,500,000"
Toyota Sienna 2015 White,Toyota,Sienna,2015,foreign used,automatic,"₦ 24,000,000"
Ford Explorer 2017 Blue,Ford,Explorer,2017,foreign used,automatic,"₦ 17,300,000"
Honda CR-V 2008 Green,Honda,CR-V,2008,foreign used,automatic,"₦ 11,000,000"
Ford Edge 2019 Blue,Ford,Edge,2019,foreign used,automatic,"₦ 19,900,000"
Mazda 3 2014 Silver,Mazda,3,2014,foreign used,automatic,"₦ 12,900,000"
Kia Sorento 2019 Gray,Kia,Sorento,2019,foreign used,automatic,"₦ 19,000,000"
Toyota Sienna Limited AWD 7-Passenger 2013 White,Toyota,Sienna Limited,2013,foreign used,automatic,"₦ 16,300,000"
Lexus RX 2006 Blue,Lexus,RX,2006,foreign used,automatic,"₦ 10,700,000"
Lexus LX 570 AWD 2013 Black,Lexus,LX 570,2013,foreign used,automatic,"₦ 47,500,000"
Toyota Land Cruiser 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 38,000,000"
Toyota Land Cruiser 2017 Black,Toyota,Land Cruiser,2017,foreign used,automatic,"₦ 66,000,000"
Toyota Camry 2013 Green,Toyota,Camry,2013,foreign used,automatic,"₦ 14,200,000"
Honda Accord 2008 Silver,Honda,Accord,2008,local used,automatic,"₦ 5,950,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 Blue,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 42,500,000"
Mercedes-Benz C350 C350 BlueEFFICIENCY RWD 2008 Gray,Mercedes-Benz,C350 C350,2008,foreign used,automatic,"₦ 15,000,000"
Mercedes-Benz C300 2013 Black,Mercedes-Benz,C300,2013,foreign used,automatic,"₦ 17,200,000"
Toyota Highlander XLE 4dr SUV (3.5L 6cyl 6A) 2015 Black,Toyota,Highlander XLE,2015,foreign used,automatic,"₦ 28,000,000"
Cadillac Escalade 2019 Black,Cadillac,Escalade,2019,foreign used,automatic,"₦ 46,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Silver,Toyota,Camry SE,2013,foreign used,automatic,"₦ 13,900,000"
Toyota Highlander Platinum AWD 2024 Silver,Toyota,Highlander Platinum,2024,foreign used,automatic,"₦ 71,000,000"
Land Rover Range Rover Autobiography P530 2023 Black,Land,Rover Range,2023,foreign used,automatic,"₦ 290,000,000"
Toyota Sienna XLE AWD 7-Passenger 2013 Black,Toyota,Sienna XLE,2013,foreign used,automatic,"₦ 17,800,000"
Lexus RX 350 FWD 2013 White,Lexus,RX 350,2013,foreign used,automatic,"₦ 23,500,000"
Lexus GX 460 2010 Gray,Lexus,GX 460,2010,foreign used,automatic,"₦ 33,500,000"
Toyota Highlander 2014 White,Toyota,Highlander,2014,foreign used,automatic,"₦ 25,800,000"
Toyota Highlander 2019 White,Toyota,Highlander,2019,foreign used,automatic,"₦ 33,500,000"
Toyota Sienna XLE 8 Passenger 2011 Gray,Toyota,Sienna XLE,2011,foreign used,automatic,"₦ 18,500,000"
Toyota Camry 2012 Black,Toyota,Camry,2012,foreign used,automatic,"₦ 16,500,000"
Lexus ES 350 FWD 2016 Silver,Lexus,ES 350,2016,foreign used,automatic,"₦ 30,000,000"
Honda Accord 2015 Gray,Honda,Accord,2015,foreign used,automatic,"₦ 15,700,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Gray,Mercedes-Benz,GLE-Class AMG,2017,foreign used,automatic,"₦ 53,000,000"
Lexus GX 460 Base 2017 White,Lexus,GX 460,2017,foreign used,automatic,"₦ 65,000,000"
Toyota Avalon XLE FWDSedan (3.6L 6cyl 6A) 2016 Red,Toyota,Avalon XLE,2016,foreign used,automatic,"₦ 23,500,000"
Hyundai Santa Fe Limited 2.0T FWD 2019 Red,Hyundai,Santa Fe,2019,foreign used,automatic,"₦ 33,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2012 Black,Toyota,Camry XLE,2012,foreign used,automatic,"₦ 16,500,000"
Hyundai Santa Fe Limited 2022 Blue,Hyundai,Santa Fe,2022,foreign used,automatic,"₦ 45,000,000"
Lexus RX 2017 Gold,Lexus,RX,2017,foreign used,automatic,"₦ 36,800,000"
Toyota Tacoma SR 2017 Black,Toyota,Tacoma SR,2017,foreign used,automatic,"₦ 38,500,000"
Mercedes-Benz GLC-Class 2018 Black,Mercedes-Benz,GLC-Class,2018,foreign used,automatic,"₦ 40,100,000"
Toyota Tacoma SR5 Double Cab 6' Bed V6 AT 2023 Silver,Toyota,Tacoma SR5,2023,foreign used,automatic,"₦ 50,500,000"
Toyota Camry XSE (2.5L 4cyl 8A) 2019 Black,Toyota,Camry XSE,2019,foreign used,automatic,"₦ 34,500,000"
Ford Edge Limited 4dr AWD (3.5L 6cyl 6A) 2013 White,Ford,Edge Limited,2013,foreign used,automatic,"₦ 11,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry SE,2013,foreign used,automatic,"₦ 13,900,000"
Land Rover Range Rover 5.0L V8 Supercharged Autobiography 2019 Gray,Land,Rover Range,2019,foreign used,automatic,"₦ 66,000,000"
Toyota Hilux SR5 4x4 2019 White,Toyota,Hilux SR5,2019,foreign used,automatic,"₦ 65,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2011 White,Toyota,Corolla LE,2011,foreign used,automatic,"₦ 12,300,000"
